,Season,Season,Team,npxg_created_op,npxg_created_sp,npxg_allowed_op,npxg_allowed_sp,xt_created,xt_allowed,box_shots,box_shots_conceded,box_touches,def_action_height,field_tilt,avg_seq_len,comp_passes,ppda,opp_buildup
20,2023/24,2023/24,Arsenal,1.3886943847725266,0.4003894986878884,0.5592429655555048,0.1920936881613574,2.671464933947368,1.249103350526316,11.36842105263158,4.815789473684211,39.89473684210526,52.08014226621001,69622520874026.38,4.888684210526316,482.2631578947368,8.18157894736842,78221578947368.4
21,2023/24,2023/24,Aston Villa,1.3029777077404228,0.3038397117996135,1.2355239914881218,0.3994549428037292,2.11617892,1.869565962162162,9.432432432432432,8.405405405405405,27.83783783783784,45.91164173460621,52079815896407.234,4.236216216216215,418.02702702702703,11.836756756756758,82633243243243.23
22,2023/24,2023/24,Brentford,1.1678513135347102,0.4215790906714068,1.2520180054836805,0.2155286686287986,1.9993971891666664,2.2925064441666665,8.944444444444445,8.805555555555555,26.75,44.74240449346072,39398546481415.695,3.1916666666666664,320.44444444444446,9.234166666666669,78487499999999.97
23,2023/24,2023/24,Bournemouth,1.1834501961344166,0.3579365112083523,1.2159399082394022,0.2862552253921565,1.9919102557894728,2.2576803271052635,9.210526315789474,9.263157894736842,28.36842105263158,48.0218869287443,44860007772838.1,2.97342105263158,306.6842105263158,9.224736842105264,79869736842105.28
24,2023/24,2023/24,Brighton,1.2054338133012927,0.2667204363120569,1.09102408628206,0.2691896015878867,2.3883440105405405,1.798374696216217,9.702702702702704,8.054054054054054,30.62162162162162,48.09165912069359,58410722303306.375,5.42918918918919,568.1081081081081,8.775405405405408,80460540540540.56
25,2023/24,2023/24,Chelsea,1.4464504971272416,0.2676463996370633,1.1384110583199396,0.3095585923227999,2.224993939166666,2.0185786380555557,8.916666666666666,9.416666666666666,30.13888888888889,46.83747544013543,53947010199067.65,4.971388888888889,512.2222222222222,8.734722222222222,79642500000000.0
26,2023/24,2023/24,Crystal Palace,0.9656937361468334,0.2995922742159785,1.0589938517156483,0.3700384034246609,1.7551817062162165,2.2630045556756757,7.621621621621622,8.486486486486486,21.97297297297297,46.94104513628906,42484032059530.34,3.309729729729729,333.4864864864865,12.239729729729737,83300810810810.83
27,2023/24,2023/24,Everton,0.940416717411656,0.5594201938886392,1.084897367185668,0.3188078699535445,1.895102859736842,2.2213573505263158,8.473684210526315,9.236842105263158,22.05263157894737,46.23135980515635,45703958215730.88,2.893157894736841,294.92105263157896,12.43578947368421,82551052631578.95
28,2023/24,2023/24,Fulham,0.9942102263632574,0.3400381603033134,1.1643515221382443,0.3595391415353668,1.9825063357894732,2.0606588760526314,8.31578947368421,8.921052631578947,22.894736842105264,43.97948533761584,50574525293501.484,3.948421052631577,415.42105263157896,12.675,82783684210526.33
29,2023/24,2023/24,Liverpool,1.798492808001382,0.5083748682269028,0.8815482109252896,0.3285755388970885,2.8529206622857144,1.5383862488571427,13.485714285714286,6.971428571428572,40.885714285714286,49.81915264749884,65984426230336.06,4.620285714285714,535.0,6.720857142857143,73471714285714.28
30,2023/24,2023/24,Nottingham Forest,1.0117574761042725,0.2818709532352718,1.005622140056378,0.3451196973186892,1.6937811759459458,2.328418961081082,7.513513513513513,8.567567567567568,21.64864864864865,41.59496556478084,39345432831648.87,3.310810810810811,305.6756756756757,15.870270270270272,85128108108108.12
31,2023/24,2023/24,Newcastle,1.524989134779102,0.3551423477842227,1.118375395473681,0.2660252429226315,2.200675695526315,1.8499693868421052,9.894736842105264,8.68421052631579,30.23684210526316,47.75495705016706,52428423451415.32,4.063684210526317,408.5,8.660789473684211,79717368421052.67
32,2023/24,2023/24,Man Utd,1.1560318441809834,0.2796377876924502,1.3001037292383812,0.438865947763662,2.057604218918919,2.31490356,9.135135135135137,11.45945945945946,29.486486486486488,44.70086786127096,48085768890698.04,3.961891891891892,411.6486486486487,11.117567567567567,81823513513513.52
33,2023/24,2023/24,Man City,1.6890572508176167,0.3412490107196693,0.7491189770193564,0.1648364047933783,2.897876127222222,1.2048636758333338,11.75,5.111111111111111,41.36111111111112,53.51480751042586,75081647621074.33,6.380833333333333,646.6388888888889,9.002222222222223,80712222222222.23
34,2023/24,2023/24,Tottenham,1.5088720321655271,0.2505402361873436,1.1894703808970548,0.4014302106523836,2.5022570737837837,1.8574584232432427,10.216216216216216,8.81081081081081,36.08108108108108,48.0449888845302,61760491684436.37,4.757297297297296,535.0540540540541,6.713783783783784,77950540540540.53
35,2023/24,2023/24,West Ham,0.9514381738586558,0.3677456252690818,1.3312079024811585,0.3921590179411901,1.797642386944444,2.5018642794444443,7.888888888888889,10.555555555555555,20.694444444444443,43.86374049490062,37259393239476.53,3.2822222222222224,314.69444444444446,14.86666666666667,84935555555555.58
36,2023/24,2023/24,Wolves,0.8533693773405893,0.3119423207427774,1.4297486850193568,0.3292474697210959,1.625407345714286,2.362508083142857,7.571428571428571,9.914285714285716,20.8,44.101982706605554,41100099600058.234,3.866285714285712,395.0285714285714,10.897142857142857,82390857142857.16
37,2023/24,2023/24,Burnley,0.8966913833408743,0.2072448382103765,1.3379113649999774,0.451141250294608,1.6879565308108109,2.291002137567568,7.0,11.0,22.75675675675676,46.16357704792753,46982455762594.6,3.654324324324323,366.35135135135135,11.998108108108104,79873783783783.8
38,2023/24,2023/24,Sheff Utd,1.3029777077404228,0.3038397117996135,1.2355239914881218,0.3994549428037292,2.11617892,1.869565962162162,9.432432432432432,8.405405405405405,27.83783783783784,45.91164173460621,52079815896407.234,4.236216216216215,418.02702702702703,11.836756756756758,82633243243243.23
39,2023/24,2023/24,Luton,0.8106816908394968,0.3412000606893687,1.750596424413694,0.421442717615817,1.8427408762162163,2.465174871351352,7.486486486486487,11.783783783783784,21.67567567567568,45.302825610861966,42639032176470.97,2.8227027027027023,283.72972972972974,11.507027027027029,80541351351351.38
