,Season,playerName,PlayerID,Position,Mins,Passes Completed,Passes Attempted,Pass Completion Rate,Forward Passes,Long Passes,xT via Pass,npxG,xA,Shots,Tackles,Interceptions,Fouls,Aerials,Recoveries,Ball Wins,Touches,Box Touches,Final 1/3 Touches,Progressive Passes,Progressive Carries,Box Passes,Box Carries,Successful Take Ons,xT Carry,xT Received
25,2022/23,Adama Traoré,140088,Full Back,21,6.0,8.0,0.75,2.0,1.0,0.01066784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,0.0,5.0,0.0,2.0,0.0,0.0,2.0,0.0319271099999999,0.02396674
26,2022/23,Ainsley Maitland-Niles,255169,Attacking Mid/Winger,17,8.0,8.0,1.0,4.0,0.0,0.0141283099999999,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,12.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02224615
27,2022/23,Ainsley Maitland-Niles,255169,Center Back,194,72.0,93.0,0.7741935483870968,53.0,3.0,0.29662713,0.009514879,0.07949827,1.0,6.0,2.0,4.0,5.0,12.0,3.0,123.0,2.0,18.0,6.0,0.0,3.0,0.0,1.0,0.04861107,0.05179113
28,2022/23,Ainsley Maitland-Niles,255169,Center Mid,383,151.0,176.0,0.8579545454545454,88.0,9.0,0.53925051,0.0,0.09369121,0.0,10.0,3.0,6.0,0.0,27.0,9.0,233.0,2.0,38.0,9.0,2.0,2.0,0.0,2.0,0.0575359499999999,0.13431221
29,2022/23,Ainsley Maitland-Niles,255169,Full Back,897,334.0,433.0,0.7713625866050808,191.0,15.0,1.1966772,0.0,0.24257667,0.0,27.0,16.0,11.0,10.0,51.0,23.0,592.0,4.0,110.0,37.0,7.0,9.0,2.0,14.0,0.20221925,0.43184909
30,2022/23,Albert Sambi Lokonga,349102,Center Mid,781,360.0,400.0,0.9,192.0,17.0,0.6317930100000001,0.10183682,0.033936504,2.0,14.0,12.0,25.0,8.0,48.0,13.0,504.0,2.0,80.0,23.0,3.0,1.0,0.0,2.0,0.12583503,0.3401538899999999
31,2022/23,Alejandro Garnacho,437022,Attacking Mid/Winger,517,132.0,166.0,0.7951807228915663,32.0,3.0,0.4304511399999999,2.602209,0.9933358,21.0,5.0,5.0,14.0,3.0,26.0,9.0,296.0,48.0,186.0,6.0,30.0,7.0,26.0,11.0,0.84672717,1.09119587
32,2022/23,Alejandro Garnacho,437022,Center Back,1,0.0,0.0,,0.0,0.0,0.00529602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013324699999999
33,2022/23,Alejandro Garnacho,437022,Center Mid,25,1.0,1.0,1.0,1.0,0.0,0.04629804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0011710799999999,0.0301167399999999
34,2022/23,Alejandro Garnacho,437022,Forward,73,17.0,20.0,0.85,5.0,0.0,0.03380138,0.7359016,0.07197806,3.0,0.0,0.0,2.0,0.0,1.0,0.0,36.0,15.0,27.0,2.0,6.0,1.0,6.0,1.0,0.1756701399999999,0.51534655
35,2022/23,Aleksandar Mitrovic,115279,Forward,2121,299.0,496.0,0.6028225806451613,135.0,23.0,1.4928780399999997,8.81907,3.064136,85.0,14.0,3.0,74.0,100.0,55.0,16.0,936.0,154.0,393.0,27.0,19.0,16.0,20.0,23.0,1.29233151,11.25864501
36,2022/23,Alex Iwobi,136824,Attacking Mid/Winger,2062,619.0,864.0,0.7164351851851852,323.0,42.0,4.07286426,1.7786347,3.812337,27.0,38.0,13.0,19.0,7.0,149.0,35.0,1184.0,41.0,512.0,114.0,38.0,66.0,11.0,42.0,0.92134055,2.3881163900000004
37,2022/23,Alex Iwobi,136824,Center Mid,1507,535.0,663.0,0.8069381598793364,312.0,31.0,2.09895852,1.5544418,2.1793308,15.0,31.0,12.0,15.0,3.0,110.0,26.0,869.0,20.0,240.0,54.0,14.0,19.0,4.0,13.0,0.6085511100000001,1.44151221
38,2022/23,Alex McCarthy,38577,Goalkeeper,579,150.0,246.0,0.6097560975609756,147.0,27.0,0.24128508,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,1.0,278.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.00875047,0.03189739
39,2022/23,Alex Mighten,381101,Center Back,8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0006964099999999,0.02329372
40,2022/23,Alex Oxlade-Chamberlain,84146,Attacking Mid/Winger,226,56.0,74.0,0.7567567567567568,31.0,2.0,0.18464756,0.51223224,0.783069,5.0,3.0,0.0,3.0,1.0,14.0,3.0,120.0,12.0,55.0,9.0,6.0,3.0,5.0,4.0,0.1932622299999999,0.70728356
41,2022/23,Alex Oxlade-Chamberlain,84146,Center Mid,90,14.0,23.0,0.6086956521739131,5.0,2.0,0.0086528199999999,0.9761826,0.0,2.0,2.0,1.0,1.0,0.0,5.0,2.0,39.0,6.0,16.0,1.0,0.0,0.0,0.0,1.0,0.01440767,0.53642592
42,2022/23,Alex Oxlade-Chamberlain,84146,Forward,36,5.0,7.0,0.7142857142857143,3.0,1.0,0.19615522,0.0,0.054667186,0.0,0.0,0.0,3.0,0.0,1.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.00883719,0.03317078
43,2022/23,Alexander Isak,299254,Attacking Mid/Winger,387,90.0,115.0,0.782608695652174,34.0,5.0,0.30068049,0.91094136,0.15281558,10.0,4.0,1.0,6.0,6.0,10.0,6.0,177.0,24.0,112.0,7.0,13.0,5.0,8.0,8.0,0.55602897,1.05069531
44,2022/23,Alexander Isak,299254,Center Mid,39,10.0,14.0,0.7142857142857143,7.0,0.0,0.12041845,0.5287862,0.047144998,3.0,0.0,0.0,1.0,0.0,2.0,1.0,35.0,8.0,24.0,2.0,5.0,2.0,3.0,3.0,0.29508206,0.10452429
45,2022/23,Alexander Isak,299254,Forward,1190,179.0,234.0,0.7649572649572649,81.0,10.0,0.8616499400000001,5.095053,1.5962639,36.0,14.0,3.0,27.0,16.0,26.0,7.0,448.0,75.0,269.0,23.0,24.0,13.0,25.0,21.0,0.93998347,4.85121823
46,2022/23,Alexis Mac Allister,345319,Attacking Mid/Winger,1078,475.0,571.0,0.8318739054290718,242.0,22.0,1.69315625,3.9240165,2.1391587,40.0,13.0,2.0,33.0,8.0,50.0,8.0,752.0,45.0,298.0,41.0,27.0,21.0,11.0,22.0,0.6969662500000001,3.3995578
47,2022/23,Alexis Mac Allister,345319,Center Mid,1980,1111.0,1266.0,0.8775671406003159,564.0,43.0,2.84804062,2.7614505,1.8590864,40.0,57.0,20.0,59.0,17.0,163.0,50.0,1578.0,21.0,384.0,83.0,24.0,24.0,2.0,20.0,0.5081835899999999,2.29356427
48,2022/23,Alisson Becker,114147,Goalkeeper,3511,1241.0,1449.0,0.8564527260179434,1220.0,165.0,1.3029430199999996,0.0,0.52032524,0.0,0.0,0.0,6.0,11.0,71.0,2.0,1647.0,0.0,0.0,131.0,2.0,0.0,0.0,2.0,0.16194603,0.29383105
49,2022/23,Allan Saint-Maximin,135891,Attacking Mid/Winger,985,250.0,359.0,0.6963788300835655,115.0,15.0,2.24110904,1.3648928,4.2840333,24.0,4.0,5.0,18.0,1.0,54.0,6.0,560.0,75.0,338.0,54.0,74.0,40.0,35.0,44.0,1.8602893400000005,1.78278208
50,2022/23,Allan Saint-Maximin,135891,Center Mid,148,48.0,61.0,0.7868852459016393,23.0,4.0,0.2442531,0.17428657,0.07362999,3.0,4.0,0.0,2.0,0.0,14.0,0.0,103.0,5.0,47.0,9.0,12.0,4.0,4.0,8.0,0.2066387299999999,0.1628812499999999
51,2022/23,Allan Saint-Maximin,135891,Forward,46,18.0,24.0,0.75,5.0,0.0,0.10797612,0.015640529,0.03589066,1.0,2.0,0.0,2.0,1.0,1.0,0.0,36.0,6.0,22.0,2.0,7.0,2.0,3.0,5.0,0.12984982,0.07148107
52,2022/23,Alphonse Areola,92516,Goalkeeper,327,67.0,91.0,0.7362637362637363,64.0,17.0,0.11568422,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,106.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.00298577,0.01045004
53,2022/23,Amadou Onana,400815,Attacking Mid/Winger,114,27.0,35.0,0.7714285714285715,18.0,3.0,0.1897255699999999,0.16578674,0.18595321,3.0,3.0,2.0,4.0,4.0,3.0,0.0,56.0,5.0,20.0,5.0,3.0,2.0,1.0,3.0,0.26614165,0.61396004
54,2022/23,Amadou Onana,400815,Center Mid,2518,789.0,941.0,0.8384697130712009,353.0,38.0,1.80050684,2.9872792,2.174586,31.0,69.0,35.0,89.0,56.0,147.0,69.0,1353.0,48.0,296.0,43.0,15.0,15.0,3.0,15.0,0.4129092399999999,5.472781770000001
55,2022/23,Andreas Pereira,243254,Attacking Mid/Winger,2829,701.0,1057.0,0.663197729422895,365.0,52.0,4.84413694,5.4368176,4.879907,61.0,18.0,6.0,72.0,9.0,117.0,24.0,1413.0,68.0,651.0,125.0,38.0,77.0,16.0,17.0,0.95941713,4.34053351
56,2022/23,Andrew Moran,423722,Attacking Mid/Winger,12,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0101243099999999
57,2022/23,André Ayew,30060,Attacking Mid/Winger,74,11.0,19.0,0.5789473684210527,4.0,0.0,0.04751046,0.07384975,0.0,1.0,1.0,0.0,2.0,4.0,4.0,2.0,31.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0034759,0.07731806
58,2022/23,André Ayew,30060,Center Mid,79,16.0,19.0,0.8421052631578947,5.0,0.0,0.01567738,0.102120936,0.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0,31.0,5.0,13.0,0.0,2.0,0.0,1.0,0.0,0.03705264,0.27507146
59,2022/23,André Ayew,30060,Forward,196,26.0,35.0,0.7428571428571429,11.0,0.0,0.05479791,0.019180415,0.05480248,1.0,3.0,0.0,6.0,6.0,4.0,3.0,56.0,2.0,26.0,2.0,2.0,1.0,1.0,0.0,0.06030257,0.23190641
60,2022/23,André Ayew,30060,Full Back,6,0.0,0.0,,0.0,0.0,0.0012528699999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,2022/23,Andy Robertson,115726,Full Back,2721,1803.0,2258.0,0.7984942426926483,852.0,54.0,7.891957649999998,0.9431848,6.8002734,13.0,38.0,18.0,32.0,22.0,174.0,36.0,2546.0,62.0,749.0,174.0,52.0,75.0,16.0,17.0,1.4875999000000004,3.786374369999999
62,2022/23,Angelo Ogbonna,23547,Attacking Mid/Winger,12,2.0,5.0,0.4,2.0,0.0,0.0026039999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015871199999999,0.0
63,2022/23,Angelo Ogbonna,23547,Center Back,1286,328.0,407.0,0.8058968058968059,222.0,20.0,0.38138288,0.15080132,0.1273855,3.0,10.0,17.0,6.0,34.0,61.0,16.0,543.0,8.0,17.0,20.0,0.0,2.0,2.0,0.0,0.06696295,0.27312911
64,2022/23,Angelo Ogbonna,23547,Full Back,16,2.0,3.0,0.6666666666666666,0.0,1.0,0.00047927,0.0,0.24432117,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014290699999999
65,2022/23,Anthony Elanga,413211,Attacking Mid/Winger,380,86.0,113.0,0.7610619469026548,36.0,2.0,0.45330424,0.936387,1.3647985,8.0,3.0,1.0,6.0,8.0,16.0,1.0,180.0,26.0,93.0,9.0,8.0,8.0,8.0,2.0,0.31125899,1.15663799
66,2022/23,Anthony Elanga,413211,Forward,66,9.0,17.0,0.5294117647058824,2.0,0.0,0.03216665,0.11526691,0.0,2.0,0.0,1.0,4.0,0.0,1.0,1.0,32.0,5.0,12.0,1.0,3.0,1.0,3.0,3.0,0.0795005399999999,0.28488589
67,2022/23,Anthony Gordon,349669,Attacking Mid/Winger,1274,278.0,364.0,0.7637362637362637,108.0,7.0,1.25834429,3.7782514,1.0703744,26.0,42.0,6.0,35.0,6.0,66.0,28.0,632.0,59.0,296.0,28.0,30.0,21.0,17.0,12.0,1.00745622,1.99497374
68,2022/23,Anthony Gordon,349669,Center Mid,157,39.0,46.0,0.8478260869565217,15.0,1.0,0.1087458099999999,1.2130358,0.16559862,4.0,3.0,0.0,5.0,0.0,6.0,2.0,81.0,9.0,40.0,4.0,2.0,2.0,1.0,1.0,0.0714384199999999,0.44778003
69,2022/23,Anthony Gordon,349669,Forward,214,35.0,52.0,0.6730769230769231,9.0,1.0,0.0448161299999999,0.15420382,0.0,4.0,3.0,0.0,9.0,2.0,8.0,4.0,89.0,10.0,38.0,2.0,6.0,0.0,4.0,3.0,0.1337365,0.28203595
70,2022/23,Anthony Gordon,349669,Full Back,23,3.0,12.0,0.25,1.0,0.0,0.0137366199999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,18.0,2.0,14.0,0.0,1.0,0.0,1.0,2.0,0.03965675,0.03092683
71,2022/23,Anthony Martial,122366,Attacking Mid/Winger,225,70.0,83.0,0.8433734939759037,38.0,2.0,0.3338047799999999,0.90531814,0.52988714,3.0,2.0,0.0,8.0,1.0,5.0,1.0,119.0,12.0,66.0,9.0,7.0,7.0,3.0,5.0,0.3378790599999999,0.8515458599999999
72,2022/23,Anthony Martial,122366,Forward,805,193.0,243.0,0.7942386831275721,84.0,3.0,0.4853676099999999,5.030473,0.9894124,23.0,3.0,1.0,14.0,9.0,15.0,5.0,373.0,44.0,203.0,11.0,12.0,10.0,9.0,9.0,0.4141186800000001,3.3518478600000003
73,2022/23,Antoine Semenyo,357073,Attacking Mid/Winger,170,21.0,34.0,0.6176470588235294,12.0,1.0,0.0773575899999999,0.081995286,0.07922003,1.0,0.0,1.0,8.0,5.0,9.0,2.0,67.0,2.0,27.0,1.0,0.0,0.0,1.0,0.0,0.02337374,0.19889322
74,2022/23,Antoine Semenyo,357073,Center Mid,6,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00369638
75,2022/23,Antoine Semenyo,357073,Forward,110,15.0,21.0,0.7142857142857143,10.0,0.0,0.06626725,0.15514392,0.0,2.0,1.0,1.0,3.0,4.0,4.0,1.0,45.0,4.0,17.0,0.0,4.0,0.0,3.0,3.0,0.18782852,0.1485496899999999
76,2022/23,Antonee Robinson,306581,Full Back,3278,1404.0,1909.0,0.7354635935044526,761.0,80.0,4.934891009999999,0.05973146,1.2037666,3.0,62.0,53.0,56.0,40.0,235.0,82.0,2380.0,29.0,606.0,195.0,69.0,54.0,6.0,40.0,1.56508993,2.37652029
77,2022/23,Antony,364315,Attacking Mid/Winger,1838,647.0,810.0,0.7987654320987654,231.0,17.0,2.81500741,5.498982,2.4159732,72.0,22.0,11.0,39.0,4.0,97.0,19.0,1124.0,87.0,639.0,62.0,72.0,42.0,38.0,30.0,1.7778014500000003,3.78393373
78,2022/23,Antony,364315,Forward,50,4.0,9.0,0.4444444444444444,1.0,0.0,0.079499,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,15.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,0.02284879,0.02438133
79,2022/23,Armando Broja,393407,Attacking Mid/Winger,49,3.0,7.0,0.4285714285714285,2.0,0.0,0.01209855,0.090289,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,16.0,4.0,10.0,0.0,2.0,0.0,2.0,2.0,0.12900624,0.1773180699999999
80,2022/23,Armando Broja,393407,Center Mid,35,3.0,6.0,0.5,3.0,0.0,0.00860121,0.5735114,0.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,17.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0131067999999999,0.1051225399999999
81,2022/23,Armando Broja,393407,Forward,188,21.0,29.0,0.7241379310344828,6.0,0.0,0.12850502,0.19515634,0.057770833,2.0,1.0,1.0,5.0,2.0,8.0,2.0,80.0,10.0,46.0,1.0,3.0,1.0,3.0,5.0,0.08376613,0.51510329
82,2022/23,Armando Broja,393407,Full Back,46,6.0,11.0,0.5454545454545454,2.0,0.0,0.02039328,0.34061185,0.0,1.0,2.0,0.0,0.0,3.0,3.0,0.0,18.0,3.0,7.0,0.0,1.0,0.0,1.0,1.0,0.0195035099999999,0.2715163699999999
83,2022/23,Armel Bella-Kotchap,369970,Center Back,2000,749.0,936.0,0.8002136752136753,437.0,47.0,1.3264438699999996,1.2658142,0.7981186,14.0,37.0,44.0,42.0,40.0,145.0,57.0,1261.0,23.0,50.0,55.0,9.0,6.0,4.0,4.0,0.5108476099999999,1.1227640299999997
84,2022/23,Arnaut Danjuma,323625,Attacking Mid/Winger,122,26.0,37.0,0.7027027027027027,8.0,0.0,0.43532955,0.33578348,0.036041003,2.0,1.0,0.0,1.0,1.0,1.0,0.0,51.0,4.0,19.0,1.0,3.0,1.0,1.0,2.0,0.07645534,0.38166624
85,2022/23,Arnaut Danjuma,323625,Center Back,35,6.0,12.0,0.5,3.0,0.0,0.0949144499999999,0.35978308,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,4.0,15.0,2.0,2.0,1.0,2.0,1.0,0.07334606,0.04603483
86,2022/23,Arnaut Danjuma,323625,Full Back,33,7.0,7.0,1.0,4.0,0.0,0.0329266,0.04099853,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0025853399999999,0.0263413999999999
87,2022/23,Ashley Young,8166,Attacking Mid/Winger,65,7.0,16.0,0.4375,6.0,2.0,0.03979075,0.04933676,0.0,1.0,3.0,4.0,1.0,1.0,4.0,3.0,31.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.00634183
88,2022/23,Ashley Young,8166,Center Mid,1,1.0,1.0,1.0,1.0,0.0,0.0729377599999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,2022/23,Ashley Young,8166,Full Back,2079,889.0,1163.0,0.764402407566638,484.0,53.0,2.9045676,0.508166,0.9148626,14.0,47.0,17.0,51.0,12.0,127.0,26.0,1437.0,8.0,253.0,125.0,23.0,23.0,3.0,8.0,0.5471142899999999,0.6831469800000002
90,2022/23,Asmir Begovic,23122,Goalkeeper,95,21.0,30.0,0.7,21.0,5.0,0.0319874,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,39.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.00283332,0.00167444
91,2022/23,Aymeric Laporte,122117,Center Back,1026,874.0,943.0,0.926829268292683,576.0,26.0,1.84563552,0.9462806,0.20505714,9.0,11.0,3.0,12.0,23.0,55.0,10.0,1031.0,12.0,166.0,40.0,30.0,9.0,2.0,2.0,1.12428522,0.8090414300000001
92,2022/23,Aymeric Laporte,122117,Center Mid,15,18.0,20.0,0.9,8.0,0.0,0.0145443099999999,0.07308916,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00753217,0.0728071399999999
93,2022/23,Ayoze Pérez,135366,Attacking Mid/Winger,372,109.0,159.0,0.6855345911949685,43.0,4.0,0.30990573,0.83934236,0.7062671,8.0,9.0,2.0,16.0,2.0,32.0,6.0,252.0,19.0,116.0,11.0,6.0,8.0,7.0,6.0,0.2182415599999999,0.92352254
